Year;PopAF;AF_inc_susp_cases;AF_inc_conf_cases;AF_inc_deaths;PopBrazil;B_inc_susp_cases;B_inc_conf_cases;B_inc_deaths
2001;116083607;;0.010337377;;176208646;;0.006810109;
2002;117463313;;0.015323934;;178499255;;0.010084076;
2003;118778854;;0.058933049;;180708344;;0.038736451;
2004;120060238;;0.093286505;;182865043;;0.061247354;
2005;121318636;;0.139302588;;184991143;;0.091355725;
2006;122530889;;0.097934489;;187061610;;0.064149988;
2007;123682847;1.173970389;0.084086033;0.016170391;189038268;0.768098447;0.055015316;0.010579868
2008;124840560;0.885129;0.075296042;0.017622478;191010274;0.578502913;0.049212013;0.011517705
2009;126011279;0.817387148;0.101578209;0.025394552;192980905;0.533731563;0.066327806;0.016581951
2010;127153832;0.878463498;0.095946774;0.025166367;194890682;0.573141819;0.062599196;0.016419461
2011;128219436;1.258779519;0.119326683;0.046014865;196603732;0.820940673;0.077821514;0.030009603
2012;129292503;1.38136393;0.114469127;0.044859523;198314934;0.900587749;0.074628772;0.029246411
2013;130356323;1.315624713;0.102795167;0.035287893;200004188;0.857482044;0.066998597;0.022999518
2014;131432137;1.672345935;0.138474504;0.055541971;201717541;1.089642472;0.090225173;0.036189218
2015;132536968;1.756491064;0.138074684;0.058096998;203475683;1.144117059;0.089937037;0.03784236
2016;133593170;1.411000278;0.11302973;0.040421228;205156587;0.918810372;0.073602316;0.026321358
2017;134619488;1.89199947;0.14039572;0.05125558;206804741;1.231596523;0.091390555;0.033364806
2018;135663322;3.109167561;0.193125154;0.070026296;208494900;2.023071068;0.125662546;0.045564664
2019;136681384;3.167951533;0.206319245;0.059993539;210147125;2.060461213;0.1341917;0.039020282
